GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.collector,GitHubCollectorTask,26,266,8,20,8,57,11,12,3,6
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.collector,DefaultGitHubClient,585,0,44,0,123,0,32,0,10,0
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.collector,GitHubSettings,38,0,0,0,16,0,11,0,11,0
com.capitalone.dashboard:github-scm-collector,com.capitalone.dashboard.model,GitHubRepo,45,64,3,3,12,14,9,8,6,8
